ActionName
CallEcRpcProviderAction
CanChangeAllJobsAction
CPMSPartSelectionAction
DummyAction
EcGenerateProjectAction
EDataGetSessionIdAction
EDataImportAsyncDownloadAction
EDataLoginUserAction
EDataUpdateDownloadStateLinksAction
EDataUpdateManifestDownloadLinksAction
EDataUpdatePartsAction
EDataUploadFileAction
EDPCloudAddPartsToBasketAction
EDPCloudCheckPartExistenceAction
ESTOCKCreateCollectionAction
ESTOCKGetCollectionsAction
ESTOCKGetEntitiesAction
ESTOCKImportCollectionAction
ESTOCKUploadEdzFileAction
ESTOCKUserDataAction
ExecuteCogineerProjectBuilderAction
ExportPartslistAction
GetEDataLoginAction
GfDlgMgrActionReload
HostEplanBatchServerAction
ImportPartslistAction
IsWebSiteReachableAction
MfEPulseAction
MultiLanguageDialogAction
PmPageObjectTreeSelectProjectAction
RMSetRemoveWriteProtectionAction
SetCloudStageAction
ShowPopupAction
ShowWaitingPopupsAction
StartEDPConfiguratorOnSelectionAction
StartEplanServerAndExecuteAction
URCheckRightsForAction
URGetGroupsOfUserAction
XActionAdjustFromCablingToAllConnection
XActionAdjustFromCircuitToAllConnection
XActionAdjustFromPanelLayout3DToAllConnection
XActionAdjustFromPIDToAllPlacementTypes
XApiModuleDlgAction
XCabCloseInstallationSpaceAction
XCabShowAllConnections
XCabShowSelectedConnections
XCabUpdateArticleDimensions
XCblCablingCalcFillingAction
XClCreateCablingFunctionByFilterAction
XClSPublishProjectAction
XCMSwapSourceTargetAction
XDataPortalNavigate
XDataPortalNavigatorInit
XDataPortalNavigatorTriggerInit
XDeviceListDeleteAction
XDeviceListExportAction
XDeviceListImportAction
XDLInsertDeviceAction
XEcToggleCogineerDesignerAction
XEcToggleCogineerPrjBuilderAction
XEdaExportAction
XEGActionAssignPart
XEsSettingsMasterDlgAction
XGedCallInteractionEventAction
XGedHidePartAction
XGedRedrawAction
XGedScaleTextsInPosFrameAction
XGedStartInteractionAction
XGedUnhidePartAction
XMAutoGroupMacroElements
XMExportMacrosFromMacroProjectAction
XMExportProjectPropertyViewsAction
XMExportPropertyViewsAction
XMImportProjectPropertyViewsAction
XMImportPropertyViewsAction
XPamAutoCreateFunctionTemplate
XPamCompareLocalWithEDPDataAction
XPamConvertPartDatabaseToArticleDatabaseAction
XPameCreateDatabase
XPameSynchronizeDatabaseWithProject
XPameSynchronizeProjectWithDatabase
XPamExportEDZAction
XPamExportUntranslatableWordsAction
XPamExportXMLAction
XPamImportTranslatedWordsToDictionaryAction
XPamRemoveLanguagesFromArticleDBAction
XPamSelectPart
XPamsRemovePartPropertyStart
XPamSummarizeFunctionTemplateAction
XPamTranslateDatabaseAction
XPartSelectionNavigate
XPartsManagementExport
XPartsManagementImport
XPlaArchitectureExport
XPlaArchitectureImport
XPlaImportPlanningAction
XPlcSchematicsGeneratorAction
XplUpdateArticlePlacementExtensionFromArticleAction
XplUpdateMainDeviceFromArticlePlacementsAction
XPrjActionProjectClose
XPrjActionProjectCompleteMasterData
XPrjActionProjectEPR
XPrjActionProjectNew
XPrjActionProjectOpen
XPrjActionProjectUpdateMasterdata
XPrjActionUpgradeProjects
XPrjSyncProjectDataAction
XProjectRebuild
XRebookConnectionDefinitionPointAction
XRevLogUniteRevisionsAction
XTrExportMisTransFromExtDataAction
XTrRemovePrjLanguageAction
